Province,Year,Zone,Candidate,Number,Party,Score
กรุงเทพมหานคร,2554,1,พลตำรวจตรีรุ่งโรจน์  เภกะนันทน์,1,เพื่อไทย,20230
กรุงเทพมหานคร,2554,1,นายประวิทย์  ติยะปัญจนิตย์,2,ชาติพัฒนาเพื่อแผ่นดิน,338
กรุงเทพมหานคร,2554,1,นางเจิมมาศ  จึงเลิศศิริ,10,ประชาธิปัตย์,40328
กรุงเทพมหานคร,2554,1,นายศิริ  หวังบุญเกิด,12,รักษ์สันติ,2193
กรุงเทพมหานคร,2554,1,นายบุญล้อม  อิงคเวทย์,14,กิจสังคม,137
กรุงเทพมหานคร,2554,1,นายข้าพุทธ  ขาวดารา,18,เพื่อฟ้าดิน,42
กรุงเทพมหานคร,2554,1,นางจุลดา  รุ่งจิรโรจน์,33,ประชาสันติ,88
กรุงเทพมหานคร,2554,1,นายชัยธนพล  ศรีจิวังษา,34,ความหวังใหม่,28
กรุงเทพมหานคร,2554,1,นายวรา  บัณฑุนาค,39,เพื่อนเกษตรไทย,21
กรุงเทพมหานคร,2554,2,หม่อมหลวงณัฎฐพล  เทวกุล,1,เพื่อไทย,26956
กรุงเทพมหานคร,2554,2,นายมนตรี  ฐิรโฆไท,2,ชาติพัฒนาเพื่อแผ่นดิน,314
กรุงเทพมหานคร,2554,2,นางสาวอรอนงค์  กาญจนชูศักดิ์,10,ประชาธิปัตย์,52178
กรุงเทพมหานคร,2554,2,นางอมริสา  ตัณสถิตย์,12,รักษ์สันติ,2413
กรุงเทพมหานคร,2554,2,นายวุฒิชัย  พฤกธารา,14,กิจสังคม,335
กรุงเทพมหานคร,2554,2,นายหนึ่งพุทธ  วิมุตตินันท์,18,เพื่อฟ้าดิน,32
กรุงเทพมหานคร,2554,2,นายสัณฑดล  มิตรานนท์,20,การเมืองใหม่,67
กรุงเทพมหานคร,2554,2,นายธรรมม์ชัย  รุ่งจริโรจน์,33,ประชาสันติ,267
กรุงเทพมหานคร,2554,2,นายจีราวัฒน์  ไชยเศรษฐ์,34,ความหวังใหม่,22
กรุงเทพมหานคร,2554,2,นายพัท  บุญยศ,39,เพื่อนเกษตรไทย,25
กรุงเทพมหานคร,2554,3,นายพงษ์พิสุทธิ์  จินตโสภณ,1,เพื่อไทย,29976
กรุงเทพมหานคร,2554,3,นายอรัญ  พันธุมจินดา,2,ชาติพัฒนาเพื่อแผ่นดิน,165
กรุงเทพมหานคร,2554,3,หม่อมหลวงอภิมงคล  โสณกุล,10,ประชาธิปัตย์,47982
กรุงเทพมหานคร,2554,3,นายจรูญเกียรติ  ภัทรมนตรีสิน,12,รักษ์สันติ,1726
กรุงเทพมหานคร,2554,3,นางสาวณิชาดา  ภัทรธนจิระกุล,14,กิจสังคม,162
กรุงเทพมหานคร,2554,3,นางสาวใบบุญ  ชาติบุญนิยม,18,เพื่อฟ้าดิน,58
กรุงเทพมหานคร,2554,3,นายวิรัช  วีระสกุลรักษ์,21,ชาติไทยพัฒนา,78
กรุงเทพมหานคร,2554,3,นายจิตรกร  เจนทัตถการกิจ,34,ความหวังใหม่,29
กรุงเทพมหานคร,2554,4,นายวรพงษ์  ตันติเวชยานนท์,1,เพื่อไทย,29749
กรุงเทพมหานคร,2554,4,นายอนุชา  บูรพชัยศรี,10,ประชาธิปัตย์,44621
กรุงเทพมหานคร,2554,4,พันตำรวจโทหญิงฐิชาลักษณ์  ณรงค์วิทย์,12,รักษ์สันติ,1531
กรุงเทพมหานคร,2554,4,นายสมพิศ  ผอบเพ็ชร,14,กิจสังคม,335
กรุงเทพมหานคร,2554,4,นางสาวประกายขวัญ  ปัญญาพร,18,เพื่อฟ้าดิน,57
กรุงเทพมหานคร,2554,4,นายวิบูลย์  วีระพงษ์ประดิษฐ์,21,ชาติไทยพัฒนา,112
กรุงเทพมหานคร,2554,4,นายเอกราช  หวังนุช,26,มาตุภูมิ,322
กรุงเทพมหานคร,2554,4,นายทศพล  บรรลือศิลป์,33,ประชาสันติ,60
กรุงเทพมหานคร,2554,4,นายมนัส  มิตรเจริญ,39,เพื่อนเกษตรไทย,79
กรุงเทพมหานคร,2554,5,นางสาวลีลาวดี  วัชโรบล,1,เพื่อไทย,38206
กรุงเทพมหานคร,2554,5,นายโสภณ  ดำนุ้ย,2,ชาติพัฒนาเพื่อแผ่นดิน,408
กรุงเทพมหานคร,2554,5,นางสาวจิตภัสร์  ภิรมย์ภักดี,10,ประชาธิปัตย์,37528
กรุงเทพมหานคร,2554,5,นายประจวบ  อึ๊งภากรณ์,12,รักษ์สันติ,2576
กรุงเทพมหานคร,2554,5,นายชาต  ศรีสุดดี,14,กิจสังคม,123
กรุงเทพมหานคร,2554,5,นายวิศิษฏ์  จิตตนุปัสน์,18,เพื่อฟ้าดิน,20
กรุงเทพมหานคร,2554,5,นางศิริลักษณ์  นิลพัฒ,21,ชาติไทยพัฒนา,125
กรุงเทพมหานคร,2554,5,พันโทเจริญ  นุชอุดม,29,เพื่อประชาชนไทย,49
กรุงเทพมหานคร,2554,5,นายวรากร  ทุมพร,33,ประชาสันติ,82
กรุงเทพมหานคร,2554,5,นายวัชริทร์  รัตนนาม,34,ความหวังใหม่,29
กรุงเทพมหานคร,2554,5,นายศิวดล  ศรีวัฒนะ,36,พลังคนกีฬา,17
กรุงเทพมหานคร,2554,6,นายกวี  ณ ลำปาง,1,เพื่อไทย,45792
กรุงเทพมหานคร,2554,6,นายกริชชัย  อรุณวงษ์ ณ อยุธยา,2,ชาติพัฒนาเพื่อแผ่นดิน,388
กรุงเทพมหานคร,2554,6,นายธนา  ชีรวินิจ,10,ประชาธิปัตย์,51501
